age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
4,21,120,6,36,0,0
6,68,508,10,80,0,0
8,170,1292,27,196,0,0
10,386,3044,54,428,0,0
12,838,6600,114,872,0,0
14,1659,13208,217,1724,0,0
16,3163,25140,403,3160,0,0
18,5693,45420,717,5712,0,0
20,9985,79584,1267,10028,0,0
22,16978,135572,2142,17104,0,0
24,28143,224660,3540,28160,0,0
