age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
1040,22909,182544,16041,127848,3612,0
1042,26547,211670,17763,141728,3606,0
1044,29314,233084,20470,163048,3050,0
1046,35446,282386,23686,189036,3979,0
1048,40897,325216,26028,207364,4489,0
1050,43614,347548,27235,217360,4803,0
1052,46433,369090,29403,234260,4582,0
1054,50730,404340,30075,240072,5637,0
1056,50037,398034,27918,222476,6231,0
1058,46005,366850,26003,207616,5888,0
1060,44649,355072,27896,222204,4374,0
1062,47313,377186,28970,231372,5074,0
1064,50317,400179,31022,247128,4854,0
1066,52138,415576,32859,262236,4731,0
1068,56468,448738,36636,291840,4674,0
1070,62473,497996,37792,301812,5792,0
1072,63629,506195,36382,289912,6876,0
1074,60264,480602,35060,279952,6652,0
1076,58885,468212,37129,295812,5214,0
1078,62375,497440,38152,304748,6158,0
1080,64625,514218,38584,307464,6423,0
1082,62962,502188,38088,304208,6355,0
1084,63389,504316,39464,314676,5988,0
1086,65984,526844,38117,304936,7685,0
1088,62783,500478,35257,281436,7444,0
1090,55935,446916,32108,256652,6900,0
1092,52007,414592,33017,263536,5321,0
1094,52199,416932,31852,254564,6042,0
1096,52891,421333,33035,263308,5358,0
1098,53209,424398,34484,275416,4896,0
1100,57338,455956,37702,300584,5213,0
1102,64730,516268,40782,325804,5567,0
1104,68488,545087,41596,331636,6123,0
1106,66363,529438,40181,320932,6622,0
1108,65243,519012,41907,333936,6282,0
1110,70324,560948,45172,360960,5879,0
1112,74946,596422,45839,365344,7091,0
1114,74740,596284,46152,368732,7330,0
1116,76646,609972,49358,393820,6434,0
1118,81659,652196,49824,398592,7597,0
1120,79290,632302,45896,366432,9039,0
1122,70685,564836,41722,333516,8826,0
1124,65071,518796,42201,336896,7114,0
1126,66713,532856,41944,335260,7844,0
1128,68274,544050,43053,343364,7432,0
1130,67589,539504,43589,348376,7044,0
1132,71022,565600,47114,376024,6941,0
1134,77966,622772,49520,396160,7338,0
1136,77899,621330,46171,368620,9152,0
1138,70610,564228,42397,338928,9304,0
1140,66530,530444,44456,354964,7209,0
1142,69871,558372,44497,355976,8210,0
1144,71069,566924,43724,349084,8684,0
1146,67197,537028,42726,341808,8249,0
1148,66768,532868,44114,352912,7516,0
1150,69451,555608,41633,333064,9503,0
1152,63125,504532,37820,302324,8996,0
1154,51825,414532,31381,251024,8956,0
1156,46055,368016,30441,243324,8595,0
1158,47087,376480,30782,246120,7420,0
1160,47029,375295,30346,242264,7827,0
1162,45818,365862,30591,244408,7548,0
1164,51775,412480,37468,298936,5327,0
1166,61076,487364,40559,324072,6384,0
1168,64134,510835,39557,315472,8436,0
1170,62237,496618,38995,311544,8488,0
1172,63952,509008,43496,346828,6890,0
1174,71367,569492,46602,372428,7875,0
1176,78198,622714,50584,403484,7602,0
1178,79958,638204,51866,414472,7765,0
1180,83584,665656,55874,446000,7841,0
1182,90145,720132,57910,463280,8493,0
1184,87277,696246,50618,404260,12377,0
1186,77000,615392,45309,362208,12297,0
1188,71142,567404,47815,381748,8518,0
1190,74141,592280,46935,375224,10536,0
1192,76736,611678,49483,394784,9294,0
1194,77505,618816,51647,412864,8356,0
1196,83576,665816,57072,455692,8343,0
1198,92792,741384,59171,473368,9837,0
1200,93061,742498,56561,451680,11107,0
1202,84511,675404,51566,412280,11460,0
1204,79582,634696,53669,428676,9589,0
1206,84325,673976,55516,444128,9857,0
1208,86655,691428,54582,435920,11008,0
1210,81717,653160,52786,422288,10874,0
1212,81091,647388,54831,438648,9857,0
1214,84724,677792,52108,416864,12218,0
1216,75572,604056,44239,353660,13409,0
1218,60623,484900,36076,288576,12989,0
1220,54281,433744,37111,296648,10414,0
1222,55863,446636,35928,287292,10666,0
1224,55898,446056,36925,294860,9982,0
1226,55390,442464,38164,305112,9131,0
1228,63328,504940,46019,367500,7053,0
1230,72989,583196,47914,383312,8995,0
1232,73736,588402,45071,359964,10724,0
1234,67958,543172,42076,336408,10670,0
1236,66366,529404,46498,371436,8045,0
1238,71908,574764,47576,380608,9431,0
1240,76166,607860,49721,397140,9293,0
1242,74358,594420,49555,396440,9058,0
1244,75231,600700,51647,413176,9173,0
1246,79646,637168,50658,405264,10707,0
1248,72333,578196,43083,344420,12744,0
1250,58884,470996,35483,283824,12654,0
1252,52853,422352,36891,294876,10046,0
1254,55802,446192,37056,296448,10372,0
1256,57350,457944,38199,305312,10059,0
1258,56618,452712,39262,314096,9395,0
1260,62187,496720,45962,367696,7458,0
1262,69070,552560,45565,364520,9707,0
1264,65229,521524,40425,323160,11740,0
1266,55021,440104,34725,277800,11750,0
1268,51015,407704,36872,294976,9705,0
1270,55549,444392,37931,303448,10150,0
1272,56091,448376,37426,299408,10617,0
1274,50276,402208,34307,274456,10747,0
1276,49989,399912,36639,293112,9562,0
1278,51773,414184,33330,266640,11542,0
1280,40582,324656,21206,169648,16132,0
1282,28491,227928,15324,122592,14667,0
1284,26975,215744,22156,177184,6864,0
1286,28233,225836,17679,141384,11712,0
1288,28400,226996,21376,170800,8112,0
1290,30083,240480,24421,195192,5964,0
1292,38293,305562,30000,239520,6202,0
1294,46692,372840,29261,233788,9960,0
1296,48854,389374,30774,245492,7887,0
1298,48424,386486,30510,243760,7386,0
1300,51951,413714,36487,290960,6030,0
1302,59205,472480,40216,321368,6454,0
1304,65826,524392,42180,336500,7670,0
1306,67875,541804,44117,352520,7775,0
1308,71696,571108,47660,380320,7449,0
1310,77361,617884,45985,367880,10471,0
1312,74294,592598,43862,350288,9544,0
1314,66628,532456,40161,321056,8966,0
1316,62804,500888,41441,330904,7690,0
1318,65080,519900,42213,337476,7971,0
1320,68606,546958,45478,362880,7529,0
1322,70754,564948,47747,381672,7398,0
1324,76517,609696,52656,420404,7590,0
1326,85812,685584,56662,453296,7968,0
1328,87402,697390,53489,427188,10527,0
1330,80191,640888,49592,396488,10986,0
1332,75761,604308,51660,412624,9125,0
1334,81004,647424,53462,427696,9771,0
1336,83284,664612,52523,419464,10992,0
1338,78809,629912,51055,408440,10814,0
1340,78284,624964,53112,424896,9784,0
1342,81817,654536,50552,404416,12231,0
1344,73378,586516,43232,345604,13296,0
1346,59161,473204,35332,282624,12948,0
1348,52737,421416,36184,289248,10405,0
1350,54395,434916,35604,284732,10574,0
1352,55014,439008,36886,294560,9970,0
1354,55557,443808,39321,314372,9131,0
1356,65077,518952,48635,388436,6970,0
1358,76948,614888,51595,412760,9148,0
1360,79594,635282,50547,403732,10562,0
1362,74673,596864,47949,383396,10660,0
1364,73004,582488,51192,408992,9300,0
1366,79809,637976,54533,436264,9796,0
1368,85533,682756,57144,456504,10087,0
1370,83874,670532,56588,452704,10404,0
1372,84781,677036,59254,474032,10501,0
1374,90452,723616,59985,479880,11253,0
1376,82056,655928,48149,384944,16252,0
1378,66132,528976,39321,314520,16201,0
1380,59204,473108,42328,338344,11383,0
1382,62964,503456,41426,331408,13239,0
1384,64459,514704,43736,349544,11861,0
1386,63533,507984,45301,362408,10774,0
1388,70129,560148,52634,421072,9386,0
1390,77950,623600,52133,417064,12140,0
1392,72969,583400,44713,357424,15236,0
1394,60931,487360,37872,302976,15187,0
1396,56550,451920,41947,335576,11297,0
1398,61676,493408,42388,339104,12715,0
1400,61996,495572,40621,324968,13550,0
1402,54920,439360,37418,299344,13092,0
1404,54604,436832,39961,319688,11390,0
1406,56223,449784,33303,266424,15912,0
1408,42811,342488,22348,178784,17559,0
1410,29600,236800,15941,127528,15477,0
1412,28546,228304,23102,184744,7867,0
1414,29347,234736,18564,148464,12296,0
1416,29696,237304,22819,182324,8554,0
1418,32047,256172,26639,213024,6534,0
1420,41759,333276,33431,267044,6908,0
1422,51607,412484,33888,271104,10707,0
1424,54585,435748,35686,285104,8898,0
1426,53727,429524,35395,283036,8596,0
1428,55929,446444,40915,326936,7409,0
1430,63009,503784,44611,356888,7986,0
1432,69138,552108,46441,371096,9533,0
1434,69750,557712,47546,380368,9898,0
1436,71516,571208,49745,397960,9808,0
1438,76374,610992,47487,379896,12666,0
1440,69321,554172,41744,333776,12964,0
1442,56801,454368,34613,276864,12617,0
1444,51310,410108,35816,286368,10373,0
1446,54399,435040,37127,297016,10406,0
1448,56999,455304,39969,319536,10011,0
1450,57773,462024,41879,335032,9821,0
1452,64253,513352,48872,390976,8584,0
1454,72341,578728,50207,401656,10404,0
