age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
4,8,36,4,20,0,0
6,22,132,6,36,0,0
8,43,274,13,80,0,0
10,79,554,22,152,0,0
12,143,1004,38,256,0,0
14,218,1620,56,408,0,0
16,330,2432,92,672,0,0
18,477,3636,136,1004,0,0
20,692,5230,196,1460,0,0
22,938,7216,266,2016,0,0
24,1255,9600,370,2804,0,0
26,1586,12281,485,3700,1,0
28,1990,15304,621,4772,1,0
30,2386,18590,800,6192,1,0
32,2919,22648,993,7696,4,0
34,3410,26706,1206,9380,3,0
36,3951,30822,1406,10932,5,0
38,4468,35048,1683,13176,7,0
40,5086,39738,1954,15284,11,0
42,5583,43951,2207,17400,13,0
44,6216,48665,2520,19748,19,0
46,6870,54102,2900,22836,19,0
48,7673,60152,3183,25020,25,0
50,8208,64763,3388,26728,51,0
52,9044,71001,3880,30512,34,0
54,9757,77016,4219,33360,55,0
56,10558,83015,4559,35952,71,0
58,11220,88744,5012,39664,67,0
60,12085,95096,5553,43760,58,0
62,12790,101128,5761,45576,122,0
64,13573,106977,6124,48392,128,0
66,14043,111394,6543,52048,111,0
68,14628,115598,6996,55328,144,0
70,15096,119874,7362,58628,148,0
72,15621,123639,7667,60796,150,0
74,15869,126091,7907,62852,194,0
76,16282,128669,8442,66836,185,0
78,16762,133018,8268,65796,317,0
80,17619,139340,8564,67908,330,0
82,18355,145783,9301,73936,233,0
84,18906,149441,9624,76240,324,0
86,19569,155266,9781,77724,389,0
88,20646,163209,10503,83204,339,0
90,21372,169574,10932,86876,352,0
92,22002,173758,10872,85988,655,0
94,23283,184760,11772,93648,432,0
96,24853,196660,12375,98200,417,0
98,25270,201006,12830,102260,469,0
100,25415,201392,13447,106724,467,0
102,25917,206190,13695,109220,513,0
104,26566,210710,13889,110328,599,0
106,26638,211928,14165,112768,632,0
108,26902,213016,14424,114428,775,0
110,27987,222464,14633,116556,724,0
112,29271,232006,15416,122480,678,0
114,29497,234762,15912,126872,676,0
116,29350,232694,15886,126124,967,0
118,30132,239780,16600,132336,773,0
120,31183,247392,16776,133284,936,0
122,31268,248916,16864,134444,1014,0
124,31521,249956,17427,138424,1012,0
126,32815,261556,18053,144424,884,0
128,33968,270222,18387,146588,938,0
130,33237,265408,18669,149172,931,0
132,31551,251212,18591,148280,997,0
134,31035,247852,17801,142212,1256,0
136,30959,246569,17926,142732,1281,0
138,30368,242121,17787,141980,1244,0
140,29881,237387,16745,133344,1995,0
142,31641,252142,18065,144176,1248,0
144,33199,263867,18879,150348,1198,0
146,32368,257871,18227,145336,1539,0
148,31529,250295,17883,142184,1979,0
150,33236,264470,19178,152892,1319,0
152,34851,276497,18677,148440,1948,0
154,35003,278494,19081,152072,1981,0
156,36419,288766,20714,164700,1336,0
158,39270,312628,21692,173008,1333,0
160,40618,322627,22474,178916,1433,0
162,39105,311638,21887,174700,1647,0
164,37822,300490,21449,170644,2209,0
166,38941,310238,22440,179064,1698,0
168,40003,317785,22214,176676,2124,0
170,39655,315768,22029,175552,2220,0
172,40867,324158,23675,188132,1730,0
174,43892,349364,24896,198644,1596,0
176,45448,360859,24362,193832,2357,0
178,44410,353830,24433,194936,2292,0
180,43910,348576,25503,202788,1862,0
182,45507,362512,25589,204240,2238,0
184,47201,374970,26602,211632,1963,0
186,47222,376280,27043,215848,1811,0
188,47744,379188,27828,221580,2070,0
190,49919,398324,28762,230096,1916,0
192,50678,403666,28885,230468,2052,0
194,47775,381644,27728,221620,2297,0
196,44251,352608,26668,212764,2808,0
198,44197,352968,26646,212928,2426,0
200,44364,353360,26031,207412,2908,0
202,43187,344450,25591,204312,2918,0
204,43551,346238,26021,207324,2963,0
206,47062,375196,27757,221604,2311,0
208,48559,386214,27817,221604,2832,0
210,46258,368826,26590,212284,3129,0
212,44970,357438,26735,212756,3161,0
214,47420,377940,28237,225468,2696,0
216,49469,393196,28279,225100,3065,0
218,49112,391492,28378,226556,3069,0
220,50583,401996,30762,245096,2381,0
222,53735,428868,31844,254752,2428,0
224,54068,430802,30812,245876,3271,0
226,50333,402104,29372,234744,3382,0
228,46915,373812,29016,231516,3292,0
230,47467,379040,28625,228712,3398,0
232,48040,382618,28673,228460,3481,0
234,47268,377112,28488,227588,3288,0
236,48458,385540,29508,235224,3367,0
238,52529,419356,31653,253224,2856,0
240,53878,429410,31314,249888,3334,0
242,50670,404804,29746,237744,3617,0
244,48058,382968,30171,240744,3358,0
246,49545,395852,30424,243392,3319,0
248,50747,404668,30344,242120,3590,0
250,49365,394448,30495,243960,3409,0
252,49128,391888,31154,249232,3368,0
254,51525,412200,31653,253224,3165,0
256,49677,397008,30818,246336,3460,0
258,42770,342112,26588,212688,4266,0
260,37324,298256,23541,188164,5967,0
262,38288,306148,25229,201716,3785,0
264,38051,303701,23428,187028,5343,0
266,36037,287792,22325,178320,5567,0
268,38611,307688,26415,210748,3181,0
270,43777,349316,28046,224044,3251,0
272,43917,349829,25098,200096,5556,0
274,40428,322398,23509,187616,5457,0
276,40215,319790,25821,205716,3757,0
278,44005,350664,26094,208236,4783,0
280,47009,373754,28298,225428,3770,0
282,47166,375852,28796,229804,3405,0
284,49617,394410,31115,247924,3525,0
286,53641,427624,32696,261040,3483,0
288,52763,419794,29203,232748,5633,0
290,48074,383394,26799,213984,5708,0
292,46338,368580,28719,228712,3995,0
294,48634,387722,28637,228680,4839,0
296,50470,401351,29389,234020,4394,0
298,50998,406428,30433,242796,3770,0
300,54607,433798,34012,270808,3134,0
302,59535,474480,34085,272156,4276,0
304,60718,482891,34723,276636,3894,0
306,58142,463622,33615,268392,3869,0
308,56917,452460,34451,274372,4058,0
310,59685,475912,36338,290224,3568,0
312,62444,496754,37339,297496,3902,0
314,61486,490380,36956,295152,4169,0
316,61848,491988,38303,305372,4219,0
318,64899,518164,39451,315608,3973,0
320,62998,502190,35241,281308,6232,0
322,56546,451804,32404,259020,6210,0
324,52345,417300,33317,265920,4476,0
326,52983,423200,31807,254168,5579,0
328,53155,423477,32465,258744,5010,0
330,52574,419318,32831,262140,4393,0
332,55500,441328,34726,276732,4518,0
334,61166,487736,36448,291116,4729,0
336,63075,501839,36421,290248,4838,0
338,60246,480518,34813,277980,4997,0
340,59241,471040,36600,291476,4421,0
342,62876,501352,38322,306132,4246,0
344,66219,526686,38748,308600,4767,0
346,65986,526256,39345,314256,4631,0
348,67730,538696,41936,334420,4012,0
350,71832,573576,42335,338680,4800,0
352,70997,565986,41436,330760,4843,0
354,64761,517452,38440,307264,4992,0
356,59711,475960,37212,297000,5397,0
358,60687,484684,37804,302132,4771,0
360,61958,493626,37914,302284,5233,0
362,61331,489496,38024,303840,5180,0
364,63924,508932,40986,326980,4654,0
366,70131,560104,43932,351456,4266,0
368,71443,569726,42578,339908,5520,0
370,66004,527404,39787,318048,5952,0
372,62091,494996,39967,319048,5592,0
374,64910,518684,40922,327376,5402,0
376,66473,530196,40986,327180,5783,0
378,63549,507844,40131,321048,5774,0
380,63062,503220,41459,331672,5543,0
382,66192,529536,42166,337328,5266,0
384,61812,494028,37050,296164,7661,0
386,51346,410700,31051,248384,8217,0
388,45052,360000,29922,239180,7656,0
390,46532,372052,30192,241396,6911,0
392,46244,369047,29311,234004,7456,0
394,44559,355814,29057,232124,7034,0
396,49401,393636,34682,276708,4690,0
398,56688,452348,35930,287036,5740,0
400,57042,454349,33289,265428,7493,0
402,52822,421426,31250,249612,7278,0
404,52819,420292,34540,275276,5262,0
406,57526,458892,35715,285348,6234,0
408,61529,489738,37983,302816,5497,0
410,61446,490256,38335,306232,5186,0
412,63969,509164,41443,330604,5086,0
414,68437,546528,42220,337760,5797,0
416,66114,527186,37480,299232,7824,0
418,59095,472212,34247,273736,7603,0
420,55434,441920,36284,289580,5325,0
422,57142,456392,35010,279844,6676,0
424,58750,468118,36630,292064,5812,0
426,59237,472788,37940,303224,5059,0
428,63177,503016,40963,326884,5228,0
430,69592,555860,42709,341672,5815,0
432,70784,564522,42638,340412,5788,0
434,65811,525892,39744,317732,6142,0
436,62376,497340,40461,323072,5928,0
438,65441,522992,42231,337848,5438,0
440,67612,539396,41931,334784,6318,0
442,64821,518068,41102,328816,6410,0
444,64252,512800,42361,338888,6011,0
446,67268,538144,42127,337016,6354,0
448,62190,497060,37298,298156,8023,0
450,51422,411316,31249,249968,8418,0
452,45440,363108,30212,241504,7911,0
454,46966,375516,30540,244204,7085,0
456,46999,375082,30211,241260,7569,0
458,45974,367268,30352,242648,7193,0
460,51635,411756,36349,290216,4897,0
462,59422,474768,38361,306888,5883,0
464,60012,478860,35581,284148,7747,0
466,55508,443660,33648,269008,7546,0
468,54493,434664,37108,296380,5312,0
470,58443,467132,37067,296536,6787,0
472,61515,490928,39378,314480,5947,0
474,60548,484008,39884,319072,5498,0
476,61509,491076,41243,329944,6062,0
478,65177,521416,41446,331568,6497,0
480,60678,485020,37030,296028,7993,0
482,50709,405620,31127,248984,8480,0
484,45239,361528,30476,243600,7991,0
486,47578,380452,31640,253120,7038,0
488,48730,389140,31431,251232,7677,0
490,47906,383072,32023,256184,7304,0
492,52192,416900,38030,304240,4926,0
494,58041,464328,38178,305424,6363,0
496,55827,446364,35454,283440,7852,0
498,47976,383760,30971,247768,8193,0
500,44346,354432,31088,248704,7964,0
502,48209,385672,33214,265712,7142,0
504,49366,394640,33742,269936,7523,0
506,44937,359496,30959,247672,8093,0
508,44694,357552,33091,264728,7453,0
510,46999,375992,33307,266456,7070,0
512,38184,305472,19987,159896,14665,0
514,27299,218392,14670,117360,13845,0
516,25299,202352,21154,169176,5849,0
518,27068,216528,16753,133976,11119,0
520,27048,216232,19957,159464,7654,0
522,28298,226232,22575,180416,5373,0
524,35349,282138,27043,215904,5496,0
526,41735,333244,24845,198476,9240,0
528,41446,330354,25201,201032,6969,0
530,39116,312038,23569,188124,6399,0
532,40978,326140,27983,223072,5115,0
534,45924,366112,30320,242044,5179,0
536,50299,400284,30902,246300,6261,0
538,50742,404532,31740,253360,6200,0
540,53416,424910,34208,272672,5673,0
542,57592,459232,32018,255616,8452,0
544,54349,432514,30098,239916,7256,0
546,48666,388138,27306,218040,6528,0
548,47612,378776,29643,236172,5069,0
550,49841,397394,30283,241868,5550,0
552,52847,420395,33258,265004,4785,0
554,54898,437648,35057,279804,4646,0
556,59799,475370,39010,310824,4766,0
558,66033,526468,40842,326212,5392,0
560,67255,535187,38376,305864,7183,0
562,63389,505602,36721,293240,7133,0
564,61787,491420,39329,313400,5374,0
566,65798,524820,40347,322296,6335,0
568,67956,540850,40278,321008,6957,0
570,65662,523788,39785,317784,6653,0
572,65992,525140,41255,328996,6163,0
574,68623,547956,39122,312976,8452,0
576,64575,514814,36136,288468,7722,0
578,57135,456516,32694,261340,7088,0
580,53250,424536,33907,270648,5518,0
582,53433,426804,32664,261060,6174,0
584,54280,432433,34156,272260,5518,0
586,55027,438938,35897,286712,5039,0
588,60002,477236,39489,314852,5207,0
590,68066,542948,42240,337452,5675,0
592,71838,571867,43543,347176,5648,0
594,69359,553394,41942,335012,5968,0
596,67953,540660,42983,342540,6105,0
598,73073,582920,46662,372868,5442,0
600,77733,618690,47502,378628,6420,0
602,77251,616360,47529,379740,6783,0
604,79021,628964,50701,404548,6014,0
606,84210,672600,51999,415992,6502,0
608,81638,651086,46965,374984,8846,0
610,72476,579164,42527,339956,8801,0
612,66560,530696,43152,344488,6975,0
614,68392,546280,42626,340704,7835,0
616,69783,556098,43909,350196,7300,0
618,68906,550040,44410,354944,6854,0
620,72402,576640,47934,382576,6834,0
622,79333,633708,50403,403224,7118,0
624,79063,630642,46687,372744,9205,0
626,71474,571136,42666,341080,9442,0
628,67185,535680,44869,358268,7246,0
630,70505,563444,44963,359704,8148,0
632,71740,572292,44014,351404,8794,0
634,67685,540932,43050,344400,8255,0
636,67233,536588,44478,355824,7505,0
638,69981,559848,41836,334688,9689,0
640,63477,507348,38001,303772,9104,0
642,52063,416436,31476,251784,9038,0
644,46272,369752,30595,244556,8656,0
646,47286,378068,30967,247596,7469,0
648,47314,377547,30598,244264,7881,0
650,46191,368818,30972,247444,7590,0
652,52414,417544,37732,301028,5372,0
654,61933,494192,40434,323044,6426,0
656,64548,514091,38385,306068,8383,0
658,61738,492610,37218,297296,8168,0
660,62655,498592,41605,331660,5894,0
662,68848,549316,43161,344896,7348,0
664,74247,591102,46358,369664,6613,0
666,75075,599124,47401,378744,6297,0
668,78054,621444,50655,404240,6378,0
670,83366,665900,51467,411736,7336,0
672,80799,644450,47027,375540,9058,0
674,72080,576040,42625,340748,9010,0
676,66819,532860,43672,348628,7223,0
678,69116,552104,43606,348584,7897,0
680,71475,569658,44900,358148,7567,0
682,71954,574444,46396,370856,6941,0
684,76854,612156,51230,408952,6463,0
686,85066,679588,53381,427048,7327,0
688,86051,686474,52533,419500,7892,0
690,78992,631272,48588,388452,8342,0
692,74432,593576,49050,391720,8111,0
694,78607,628232,51378,411024,7481,0
696,81153,647472,51405,410504,8390,0
698,77242,617360,49698,397584,8687,0
700,76596,611428,51615,412920,8109,0
702,80417,643336,51810,414480,8257,0
704,73254,585512,43015,343868,12054,0
706,59381,474964,35390,283088,12227,0
708,52630,420552,36116,288696,9505,0
710,54640,436864,35089,280576,10104,0
712,54605,435748,35635,284552,9572,0
714,53858,430220,36708,293460,8584,0
716,61429,489808,44324,353928,6349,0
718,70857,566140,46050,368400,8320,0
720,71466,570270,43730,349240,9701,0
722,66008,527572,41047,328172,9614,0
724,64659,515772,44858,358308,7622,0
726,69793,557840,46144,369152,8566,0
728,73984,590424,48395,386520,8341,0
730,72483,579412,48342,386736,8185,0
732,73390,585964,50398,403184,8445,0
734,77915,623320,50415,403320,9309,0
736,71349,570324,42616,340684,12205,0
738,58363,466828,35183,281424,12386,0
740,52221,417296,36380,290788,9771,0
742,55233,441640,36562,292496,10155,0
744,56677,452560,37739,301628,9735,0
746,55981,447616,38879,311032,9016,0
748,61586,491912,45546,364368,7145,0
750,68487,547896,45521,364168,9187,0
752,64915,519012,40317,322292,11536,0
754,54897,439108,34580,276640,11718,0
756,50803,406004,36709,293672,9641,0
758,55317,442536,37921,303368,9930,0
760,55968,447392,37291,298328,10566,0
762,50134,401072,34298,274384,10613,0
764,49847,398776,36637,293096,9424,0
766,51763,414104,33328,266624,11534,0
768,40580,324640,21204,169632,16132,0
770,28491,227928,15324,122592,14667,0
772,26975,215744,22156,177184,6864,0
774,28233,225836,17679,141384,11712,0
776,28400,226996,21376,170800,8112,0
778,30083,240480,24415,195144,5964,0
780,38275,305418,29908,238792,6202,0
782,46493,371252,28837,230400,9960,0
784,48078,383178,29840,238040,7879,0
786,46831,373762,28885,230772,7355,0
788,49405,393414,33995,271072,5995,0
790,55620,443852,37311,298160,6248,0
792,61086,486580,38452,306728,7450,0
794,62033,495108,39448,315180,7556,0
796,65009,517728,42653,340300,6929,0
798,69640,556160,40379,323032,10045,0
800,65775,524558,37387,298520,9131,0
802,58441,467004,34084,272452,8224,0
804,55386,441624,36372,290396,6207,0
806,57060,455808,35989,287712,7249,0
808,59842,477018,39504,315164,6219,0
810,61749,492992,41527,331944,5939,0
812,66659,531036,44851,358036,6782,0
814,74194,592720,47969,383752,7049,0
816,75261,600430,45151,360564,8919,0
818,69135,552508,41852,334600,9181,0
820,65457,522076,44270,353576,7167,0
822,69628,556508,45173,361384,8099,0
824,71274,568748,43918,350724,9196,0
826,67459,539200,43088,344704,8788,0
828,66979,534672,44537,356296,7883,0
830,69672,557376,41265,330120,10606,0
832,62870,502508,37850,302588,9397,0
834,51486,411828,31369,250928,9207,0
836,45916,366920,30517,243944,8879,0
838,46988,375692,31210,249596,7605,0
840,47667,380390,31587,252252,8012,0
842,47845,382224,32939,263352,7786,0
844,55174,440000,40467,323188,5564,0
846,65033,519708,43486,347888,6755,0
848,67284,537052,41798,333856,8616,0
850,63094,504336,39906,319092,8582,0
852,61787,493028,43017,343688,6964,0
854,67391,538740,44745,357960,8023,0
856,71890,573876,47467,379216,7689,0
858,70788,565936,47555,380440,7693,0
860,71829,573632,49598,396784,8108,0
862,76651,613208,50463,403704,8444,0
864,70528,563784,42298,338176,12007,0
866,57889,463056,35127,280976,12273,0
868,51839,414284,36289,290076,9600,0
870,55045,440156,36482,291856,10107,0
872,56362,450096,37379,298756,9796,0
874,55352,442592,38406,307248,9056,0
876,60620,484232,45088,360704,7153,0
878,67440,539520,44757,358056,9328,0
880,63799,510100,39842,318508,11535,0
882,53941,431460,34268,274144,11638,0
884,50068,400152,36344,290752,9616,0
886,54563,436504,37724,301792,9922,0
888,55388,442776,37088,296704,10523,0
890,49720,397760,34081,272648,10593,0
892,49431,395448,36400,291200,9423,0
894,51409,411272,33214,265712,11470,0
896,40355,322840,21105,168840,16071,0
898,28356,226848,15258,122064,14629,0
900,26832,214608,22047,176312,6848,0
902,28136,225060,17606,140800,11691,0
904,28300,226188,21367,170732,8081,0
906,30230,241668,24812,198416,5936,0
908,39036,311636,30657,244912,6191,0
910,47572,380280,30069,240552,9917,0
912,49068,391790,30986,247584,7903,0
914,47316,378292,30196,241460,7386,0
916,49003,391228,35494,283628,5854,0
918,54415,435096,37372,298976,6576,0
920,58919,470576,38536,307948,7646,0
922,58940,471296,39797,318376,7561,0
924,60382,482332,41282,330256,7612,0
926,64165,513320,38442,307536,10382,0
928,58550,468084,36284,290136,8906,0
930,48849,390768,30647,245144,8782,0
932,44406,354964,30124,240868,8703,0
934,46898,375068,32475,259800,7366,0
936,49337,394160,34038,272144,7916,0
938,50043,400224,35365,282920,8041,0
940,55268,441648,41738,333904,6331,0
942,62410,499280,43455,347640,7408,0
944,60471,483548,38201,305456,10799,0
946,51780,414200,33532,268256,11073,0
948,48055,384156,35203,281624,9117,0
950,53125,425000,36756,294048,9673,0
952,53886,430844,36302,290416,10302,0
954,48515,388120,33505,268040,10392,0
956,48328,386624,35755,286040,9237,0
958,50454,403632,33057,264456,11208,0
960,39830,318640,20896,167168,15951,0
962,28098,224784,15109,120872,14562,0
964,26472,211744,21840,174664,6780,0
966,27837,222672,17594,140752,11634,0
968,28417,227156,21875,174896,8067,0
970,31169,249312,26215,209720,5955,0
972,39809,318188,32484,259872,6147,0
974,47074,376592,30734,245872,10256,0
976,46630,372900,32117,256840,7933,0
978,42044,336344,28971,231768,7987,0
980,40780,326088,30454,243632,8570,0
982,46127,369016,35460,283680,6944,0
984,49394,395008,34795,278360,9285,0
986,46254,370032,32643,261144,10310,0
988,46269,370152,34804,278432,9160,0
990,49178,393424,32654,261232,11118,0
992,39090,312720,20515,164120,15865,0
994,27625,221000,15063,120504,14391,0
996,26044,208308,21884,175072,6694,0
998,28190,225520,18639,149112,11678,0
1000,29314,234468,23994,191952,7977,0
1002,30025,240200,25875,207000,6761,0
1004,34667,277336,28196,225568,8622,0
1006,38322,306576,26236,209888,11082,0
1008,32142,257136,17285,138280,14273,0
1010,23958,191664,13238,105904,13224,0
1012,23456,187648,20888,167104,6338,0
1014,26274,210192,17836,142688,10718,0
1016,24227,193816,13148,105184,12347,0
1018,19406,155248,13026,104208,10254,0
1020,19682,157456,13640,109120,8168,0
1022,18324,146592,0,0,18324,0
1024,9202,73616,4774,38192,6086,0
1026,4774,38192,2616,20928,3376,0
1028,6652,53216,4044,32352,4132,0
1030,4728,37824,3774,30192,2490,0
1032,5386,43088,5770,46112,1990,0
1034,7148,57176,7397,59136,2468,0
1036,10877,86892,10746,85800,2887,0
1038,16636,132864,14375,114840,3033,0
