age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
4,21,120,6,36,0,0
6,68,508,10,80,0,0
8,170,1292,27,196,0,0
10,386,3044,54,428,0,0
12,838,6600,114,872,0,0
14,1659,13208,217,1724,0,0
16,3163,25140,403,3160,0,0
18,5693,45420,709,5648,0,0
20,9885,78800,1240,9816,0,0
22,16578,132388,2071,16536,0,0
24,27084,216228,3365,26772,0,0
26,42716,341384,5332,42608,0,0
28,65309,521804,8168,65088,0,0
30,96612,772376,12213,97640,0,0
32,138977,1110836,17899,142856,0,0
34,194875,1558296,25506,203920,0,0
36,266629,2131556,35754,285524,0,0
38,356034,2847208,48834,390484,0,0
40,464765,3716084,65148,520468,0,0
42,591654,4731816,85200,681324,0,0
44,735836,5884080,108771,869272,0,0
46,893091,7142952,135313,1082180,0,0
48,1056208,8446526,165551,1323324,1,0
50,1218422,9745312,196540,1571952,0,0
52,1369265,10950540,228362,1825656,3,0
54,1495190,11959276,259305,2074056,3,0
56,1591249,12726168,286412,2289972,11,0
58,1647646,13178768,308037,2463892,12,0
60,1656810,13250556,322800,2581032,28,0
62,1617385,12936624,326052,2608068,31,0
64,1530330,12238700,319624,2555764,55,0
66,1398921,11189056,300539,2404000,61,0
68,1232224,9854184,269826,2157720,79,0
70,1041417,8329324,232925,1863160,88,0
72,841851,6731940,189008,1511344,107,0
74,646509,5170552,144251,1153824,103,0
76,469221,3751648,104660,836816,109,0
78,319627,2555944,69163,553160,101,0
80,203428,1625974,42418,339136,94,0
82,119651,956576,24201,193544,78,0
84,64523,515464,11761,93968,66,0
86,31456,251372,5097,40740,48,0
88,13571,108264,1968,15700,36,0
90,5090,40644,484,3856,20,0
92,1582,12544,48,380,11,0
94,321,2556,0,0,3,0
96,30,222,0,0,1,0
