age,orbits,labeled,after_orbits,after_labeled,dead_orbits,full_chain_orbits
4,2,6,2,8,0,0
6,3,16,1,8,0,0
8,4,18,4,20,0,0
10,5,28,3,20,0,0
12,7,34,3,20,1,0
14,5,32,3,24,0,0
16,4,24,3,16,1,0
18,3,20,3,20,1,0
20,6,30,5,32,1,0
22,6,40,3,24,1,0
24,6,30,3,20,2,0
26,4,28,3,24,1,0
28,5,32,3,24,1,0
30,3,24,0,0,3,0
32,2,12,2,12,1,0
34,2,12,2,12,1,0
36,4,18,3,20,2,0
38,4,28,3,24,1,0
40,6,30,3,20,2,0
42,4,28,3,24,1,0
44,5,32,3,24,1,0
46,3,24,0,0,3,0
48,2,12,2,12,1,0
50,2,12,2,16,1,0
52,4,24,3,24,2,0
54,3,24,0,0,3,0
56,2,12,2,16,1,0
58,2,16,0,0,2,0
60,2,16,0,0,2,2
